Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
240,Josh Rupe\rupejo01,23,TEX,29.0,16,0,11,3.41,5.03,0.06,-0.37,99.9,4.60,4,0.4,.71,-0.1,0.5,7,.522,.502,$328000,Traded
241,B.J. Ryan*\ryanb.01,30,TOR,72.1,65,0,12,1.49,5.06,0.27,-0.38,99.7,4.40,23,2.3,1.63,0.5,3.6,32,.535,.514,$4000000,Free Agency
242,Kirk Saarloos\saarlki01,27,OAK,121.1,35,16,70,5.19,5.11,0.01,0.06,97.0,5.00,-4,-0.4,1.07,-0.1,0.8,11,.490,.498,$354000,Traded
243,CC Sabathia*\sabatc.01,25,CLE,192.2,28,28,83,3.88,4.91,-0.16,0.19,98.9,5.21,27,2.8,,-0.1,4.6,50,.599,.517,$7000000,Amateur Draft
244,Juan Salas\salasju01,27,TBD,10.0,8,0,7,6.30,5.37,-0.25,-0.40,100.3,5.24,-1,-0.1,.71,0.0,0.0,0,.485,.499,,Amateur Free Agent
245,Ervin Santana\santaer01,23,LAA,204.0,33,33,106,4.68,4.99,0.00,0.19,98.9,5.12,8,0.8,,-0.1,2.8,33,.524,.505,$350000,Amateur Free Agent
246,Johan Santana*\santajo02,27,MIN,233.2,34,34,79,3.04,4.99,0.06,0.19,98.8,5.05,50,5.3,,-0.1,7.6,79,.657,.533,$8750000,Traded
247,Scott Sauerbeck*\sauersc01,34,2TM,25.1,46,0,17,6.04,5.45,-0.07,-0.41,98.1,5.02,-3,-0.3,.65,0.0,-0.1,0,.493,.499,$1200000,Free Agency
248,Joe Saunders*\saundjo01,25,LAA,70.2,13,13,42,5.35,5.22,0.00,0.19,99.0,5.37,-1,-0.1,,0.0,0.6,8,.496,.500,,Amateur Draft
249,Curt Schilling\schilcu01,39,BOS,204.0,31,31,90,3.97,5.03,-0.17,0.19,102.9,5.55,34,3.5,,-0.1,5.5,59,.614,.522,$13000000,Traded
250,Scott Schoeneweis*\schoesc01,32,TOR,37.1,55,0,27,6.51,5.31,0.40,-0.39,100.3,4.53,-9,-0.8,1.30,-0.2,-0.7,-4,.485,.495,$2750000,Free Agency
251,Rudy Seanez\seaneru01,37,BOS,46.2,41,0,28,5.40,5.17,-0.17,-0.38,104.2,5.17,-2,-0.2,.68,-0.1,0.3,4,.496,.499,$1900000,Free Agency
