Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Acquired,Pos Summary
413,Luis Maza\mazalu01,28,LAD,45,88,-6,0,-1,-4,1,-9,-1.0,3,-7,-0.7,.479,.494,-0.3,-0.3,-3,,Free Agency,46
414,Paul McAnulty*\mcanupa01,27,SDP,66,164,-1,0,1,-3,-2,-5,-0.6,5,0,-0.1,.492,.497,0.3,-0.6,3,$391250,Amateur Draft,79/D
415,Brian McCann*\mccanbr01,24,ATL,145,573,27,-2,-2,8,9,39,3.8,18,57,5.5,.527,.524,4.7,1.6,49,$966666,Amateur Draft,*2
416,Scott McClain\mcclasc01,36,SFG,14,38,1,0,0,-1,0,0,0.0,1,1,0.1,.499,.500,0.2,-0.1,2,,Free Agency,/35
417,Kyle McClellan\mccleky01,24,STL,62,6,-2,0,0,0,1,-1,-0.1,0,-1,-0.1,.499,.499,-0.1,0.0,-1,$390000,Amateur Draft,1
418,Seth McClung*\mccluse01,27,MIL,35,22,-1,0,0,0,3,2,0.2,0,2,0.2,.505,.501,0.2,0.0,2,$750000,Traded,1
419,James McDonald*\mcdonja03,23,LAD,4,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Amateur Draft,/1
420,Casey McGehee\mcgehca01,25,CHC,9,25,-4,0,0,2,0,-2,-0.2,1,-1,-0.2,.475,.499,-0.4,0.2,-3,,Amateur Draft,/5
421,Nate McLouth*\mclouna01,26,PIT,152,685,21,5,1,-23,3,7,0.5,21,27,2.4,.504,.504,4.8,-2.1,50,$425000,Amateur Draft,*8/79
422,Dallas McPherson*\mcpheda01,27,FLA,11,15,0,0,0,0,0,0,0.0,0,1,0.1,.500,.500,0.1,0.0,0,,Free Agency,/5
423,Brandon Medders\meddebr01,28,ARI,18,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$409500,Free Agency,1
424,Evan Meek\meekev01,25,PIT,9,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$390000,Purchased,/1
425,Adam Melhuse#\melhuad01,36,COL,7,10,-2,0,0,1,0,-1,-0.1,0,-1,-0.1,.486,.499,-0.2,0.1,-2,,Free Agency,/2
426,Kent Mercker*\merckke01,40,CIN,15,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$600000,Free Agency,1
427,Cla Meredith\meredcl01,25,SDP,67,1,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$415000,Traded,1
428,Jason Michaels\michaja01,32,PIT,102,254,-6,0,-1,-5,-2,-14,-1.6,8,-7,-0.8,.486,.491,-0.3,-0.8,-1,,Conditional Deal,97/8
429,Doug Mientkiewicz*\mientdo01,34,PIT,125,334,3,1,0,0,-2,3,0.2,10,13,1.2,.502,.502,1.2,-0.3,13,$750000,Free Agency,359
430,Aaron Miles#\milesaa01,31,STL,134,408,1,-1,0,7,4,11,1.0,13,24,2.2,.508,.507,1.5,1.0,17,$1400000,Free Agency,465/7819
431,Lastings Milledge\millela02,23,WSN,138,587,-5,-2,0,-13,3,-17,-1.9,18,1,-0.2,.488,.489,1.2,-1.1,14,$402500,Traded,*8
432,Andrew Miller*\millean01,23,FLA,27,32,-8,0,0,0,5,-3,-0.3,0,-3,-0.3,.490,.498,-0.3,0.0,-3,$2212500,Traded,1
433,Corky Miller\milleco01,32,ATL,31,67,-10,0,0,5,1,-4,-0.4,2,-2,-0.2,.487,.497,-0.7,0.6,-7,$400000,Free Agency,2
434,Jai Miller\milleja04,23,FLA,1,1,0,0,0,0,0,0,0.0,0,0,0.0,.470,.500,0.0,0.0,0,,Amateur Draft,/8
